z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayModes,abundance,abundanceUncertainty,betaMinus(keV),betaMinusUncertainty,electronCapture(keV),electronCaptureUncertainty,positronEmission(keV),positronEmissionUncertainty,alpha(keV),alphaUncertainty
96,138,234Cm,0,51,s,12,A AP 40.00,,,-6.67E+03,15,2.26E+03,16,1.24E+03,16,7365,9
96,138,234Cm,0,51,s,12,SF = @40.00,,,-6.67E+03,15,2.26E+03,16,1.24E+03,16,7365,9
96,138,234Cm,0,51,s,12,EC = @20.00,,,-6.67E+03,15,2.26E+03,16,1.24E+03,16,7365,9
96,137,233Cm,0,23,s,7,EC = 80.00,,,-5.48E+03,25,4.01E+03,14,2.99E+03,14,7.47E+03,5
96,137,233Cm,0,23,s,7,A = 20.00,,,-5.48E+03,25,4.01E+03,14,2.99E+03,14,7.47E+03,5
96,139,235Cm,0,,,,A ? ,,,-4.80E+03,4,3.39E+03,12,2.37E+03,12,7.28E+03,10
96,139,235Cm,0,,,,EC ? ,,,-4.80E+03,4,3.39E+03,12,2.37E+03,12,7.28E+03,10
96,150,246Cm,0,4706,y,40,A = 99.97,,,-1.35E+03,6,-2377,18,-3399,18,5475.1,9
96,150,246Cm,0,4706,y,40,SF = 0.03,,,-1.35E+03,6,-2377,18,-3399,18,5475.1,9
96,152,248Cm,0,3.48E+05,y,6,A = 91.61,,,-7.40E+02,5,-3.17E+03,20,-4.19E+03,20,5161.8,3
96,152,248Cm,0,3.48E+05,y,6,SF = 8.39,,,-7.40E+02,5,-3.17E+03,20,-4.19E+03,20,5161.8,3
96,151,247Cm,0,1.56E+07,y,5,A = 100.00,,,44,6,-1.62E+03,10,-2.64E+03,10,5354,3
96,143,239Cm,0,2.7,h,8,EC = 100.00,,,-3.10E+03,3,1.76E+03,15,7.30E+02,15,6.54E+03,15
96,143,239Cm,0,2.7,h,8,A LT 1.E-3,,,-3.10E+03,3,1.76E+03,15,7.30E+02,15,6.54E+03,15
96,142,238Cm,0,2.2,h,4,EC = 96.16,,,-4.80E+03,3,1.02E+03,6,0,AP,6670,10
96,142,238Cm,0,2.2,h,4,A = 3.84,,,-4.80E+03,3,1.02E+03,6,0,AP,6670,10
96,142,238Cm,0,2.2,h,4,SF = 0.05,,,-4.80E+03,3,1.02E+03,6,0,AP,6670,10
96,145,241Cm,0,32.8,d,2,EC = 99.00,,,-2.28E+03,17,767.4,12,-254.6,12,6185.2,6
96,145,241Cm,0,32.8,d,2,A = 1.00,,,-2.28E+03,17,767.4,12,-254.6,12,6185.2,6
96,144,240Cm,0,27,d,1,A AP 99.50,,,-3.94E+03,15,214,14,-808,14,6397.8,6
96,144,240Cm,0,27,d,1,SF = 3.9E-6,,,-3.94E+03,15,214,14,-808,14,6397.8,6
96,144,240Cm,0,27,d,1,EC = <  0.50,,,-3.94E+03,15,214,14,-808,14,6397.8,6
96,147,243Cm,0,29.1,y,1,A = 99.71,,,-1508,5,6.9,16,-1015.1,16,6168.8,10
96,147,243Cm,0,29.1,y,1,EC = 0.29,,,-1508,5,6.9,16,-1015.1,16,6168.8,10
96,147,243Cm,0,29.1,y,1,SF = 5.3E-9,,,-1508,5,6.9,16,-1015.1,16,6168.8,10
96,146,242Cm,0,162.8,d,2,A = 100.00,,,-2.95E+03,14,-664.3,4,-1686.3,4,6215.63,8
96,146,242Cm,0,162.8,d,2,SF = 6.2E-6,,,-2.95E+03,14,-664.3,4,-1686.3,4,6215.63,8
96,146,242Cm,0,162.8,d,2,34Si = 1.E-14,,,-2.95E+03,14,-664.3,4,-1686.3,4,6215.63,8
96,149,245Cm,0,8423,y,74,A = 100.00,,,-809.3,15,-895.9,15,-1917.9,15,5624.5,5
96,149,245Cm,0,8423,y,74,SF = 6.1E-7,,,-809.3,15,-895.9,15,-1917.9,15,5624.5,5
96,148,244Cm,0,18.1,y,1,A = 100.00,,,-2262,14,-1427.3,10,-2449.3,10,5901.6,3
96,148,244Cm,0,18.1,y,1,SF = 1.4E-4,,,-2262,14,-1427.3,10,-2449.3,10,5901.6,3
96,148,244Cm,1.0402,34,ms,2,IT = 100.00,,,-2262,14,-1427.3,10,-2449.3,10,5901.6,3
96,154,250Cm,0,8.30E+03,y,AP,SF AP 74.00,,,38,11,,,,,5170,18
96,154,250Cm,0,8.30E+03,y,AP,A AP 18.00,,,38,11,,,,,5170,18
96,154,250Cm,0,8.30E+03,y,AP,B- AP 8.00,,,38,11,,,,,5170,18
96,153,249Cm,0,64.15,m,3,B- = 100.00,,,904,3,-2.40E+03,3,-3.40E+03,3,5148,13
96,156,252Cm,0,2,d,LT,,,,5.00E+02,4,,,,,,
96,155,251Cm,0,16.8,m,2,B- = 100.00,,,1420,20,,,,,5.01E+03,20
97,141,238Bk,0,144,s,5,EC = 100.00,,,-3.10E+03,4,4.80E+03,3,3.70E+03,3,7.33E+03,20
97,141,238Bk,0,144,s,5,EF = 0.05,,,-3.10E+03,4,4.80E+03,3,3.70E+03,3,7.33E+03,20
97,142,239Bk,,,,,EC AP 99.00,,,-3.95E+03,24,3.10E+03,3,2.10E+03,3,7.20E+03,20
97,142,239Bk,,,,,A LT 1.00,,,-3.95E+03,24,3.10E+03,3,2.10E+03,3,7.20E+03,20
97,142,239Bk,,,,,SF LT 1.00,,,-3.95E+03,24,3.10E+03,3,2.10E+03,3,7.20E+03,20
97,143,240Bk,0,4.8,m,8,EF = 2.0E-3,,,-2.32E+03,15,3.94E+03,15,2.92E+03,15,7.20E+03,19
97,143,240Bk,0,4.8,m,8,EC  ,,,-2.32E+03,15,3.94E+03,15,2.92E+03,15,7.20E+03,19
97,144,241Bk,0,4.6,m,4,EC ? ,,,-3.35E+03,24,2.28E+03,17,1.26E+03,17,6.99E+03,18
97,144,241Bk,0,4.6,m,4,A  ,,,-3.35E+03,24,2.28E+03,17,1.26E+03,17,6.99E+03,18
97,145,242Bk,0,7,m,13,EC LE 100.00,,,-1.63E+03,14,2.95E+03,14,1.93E+03,14,6.91E+03,15
97,146,243Bk,0,4.5,h,2,EC AP 99.85,,,-2.30E+03,18,1508,5,486,5,6874,4
97,146,243Bk,0,4.5,h,2,A AP 0.15,,,-2.30E+03,18,1508,5,486,5,6874,4
97,147,244Bk,0,4.35,h,15,EC = 99.99,,,-764,15,2262,14,1240,14,6779,4
97,147,244Bk,0,4.35,h,15,A = 6.0E-3,,,-764,15,2262,14,1240,14,6779,4
97,148,245Bk,0,4.95,d,3,EC = 99.88,,,-1571,3,809.3,15,-212.7,15,6454.5,14
97,148,245Bk,0,4.95,d,3,A = 0.12,,,-1571,3,809.3,15,-212.7,15,6454.5,14
97,149,246Bk,0,1.8,d,2,EC = 100.00,,,-1.20E+02,6,1.35E+03,6,3.30E+02,6,6.07E+03,6
97,150,247Bk,0,1380,y,250,A LT 100.00,,,-620,15,-44,6,-1066,6,5890,5
97,151,248Bk,0,9,y,GT,A  ,,,8.90E+02,5,7.40E+02,5,-2.80E+02,5,5.83E+03,5
97,151,248Bk,0,23.7,h,2,B- = 70.00,,,8.90E+02,5,7.40E+02,5,-2.80E+02,5,5.83E+03,5
97,151,248Bk,0,23.7,h,2,EC = 30.00,,,8.90E+02,5,7.40E+02,5,-2.80E+02,5,5.83E+03,5
97,136,233Bk,,,,,,,,,,5.48E+03,25,4.46E+03,25,8.17E+03,21
97,137,234Bk,0,1.40E+02,s,9,A AP 80.00,,,,,6.67E+03,15,5.65E+03,15,8.10E+03,5
97,137,234Bk,0,1.40E+02,s,9,EC LE 20.00,,,,,6.67E+03,15,5.65E+03,15,8.10E+03,5
97,138,235Bk,,,,,EC = ?,,,,,4.80E+03,4,3.70E+03,4,7.90E+03,5
97,138,235Bk,,,,,A ? ,,,,,4.80E+03,4,3.70E+03,4,7.90E+03,5
97,139,236Bk,,,,,,,,,,5.70E+03,4,4.70E+03,4,7.70E+03,20
97,140,237Bk,0,1,m,AP,EC ? ,,,-4.73E+03,25,3.96E+03,24,2.94E+03,24,7.50E+03,20
97,140,237Bk,0,1,m,AP,A ? ,,,-4.73E+03,25,3.96E+03,24,2.94E+03,24,7.50E+03,20
97,152,249Bk,0,330,d,4,B- = 100.00,,,123.6,4,-904,3,-1926,3,5521,14
97,152,249Bk,0,330,d,4,A = 1.4E-3,,,123.6,4,-904,3,-1926,3,5521,14
97,152,249Bk,0,330,d,4,SF = 4.7E-8,,,123.6,4,-904,3,-1926,3,5521,14
97,153,250Bk,0,3.212,h,5,B- = 100.00,,,1781.7,25,-38,11,-1060,11,5533,18
97,154,251Bk,0,55.6,m,11,B- = 100.00,,,1093,10,-1420,20,-2442,20,5.65E+03,10
97,155,252Bk,0,,,,,,,2.50E+03,20,-5.00E+02,4,-1.50E+03,4,5.50E+03,3
97,156,253Bk,0,10,m,GT,B- ? ,,,1.60E+03,4,,,,,5.40E+03,20
97,157,254Bk,,,,,,,,3.10E+03,3,,,,,,
98,148,246Cf,0,35.7,h,5,A = 100.00,,,-3.73E+03,9,1.20E+02,6,-9.00E+02,6,6861.6,10
98,148,246Cf,0,35.7,h,5,EC LT 4.0E-3,,,-3.73E+03,9,1.20E+02,6,-9.00E+02,6,6861.6,10
98,148,246Cf,0,35.7,h,5,SF = 2.4E-4,,,-3.73E+03,9,1.20E+02,6,-9.00E+02,6,6861.6,10
98,148,246Cf,2.5,45,ns,10,SF LE 100.00,,,-3.73E+03,9,1.20E+02,6,-9.00E+02,6,6861.6,10
98,149,247Cf,0,3.11,h,3,EC = 99.97,,,-2469,24,620,15,-402,15,6503,14
98,149,247Cf,0,3.11,h,3,A = 0.04,,,-2469,24,620,15,-402,15,6503,14
98,146,244Cf,0,19.4,m,6,A LE 100.00,,,-4.55E+03,18,764,15,-258,15,7329,18
98,147,245Cf,0,45,m,15,EC = 64.70,,,-2.93E+03,17,1571,3,549,3,7258.5,18
98,147,245Cf,0,45,m,15,A = 35.30,,,-2.93E+03,17,1571,3,549,3,7258.5,18
98,144,242Cf,0,3.49,m,12,A = 80.00,,,-5.40E+03,3,1.64E+03,14,6.10E+02,14,7517,4
98,144,242Cf,0,3.49,m,12,EC = 20.00,,,-5.40E+03,3,1.64E+03,14,6.10E+02,14,7517,4
98,144,242Cf,0,3.49,m,12,SF LE 0.01,,,-5.40E+03,3,1.64E+03,14,6.10E+02,14,7517,4
98,145,243Cf,0,10.7,m,5,EC AP 86.00,,,-3.80E+03,3,2.30E+03,18,1.28E+03,18,7.42E+03,10
98,145,243Cf,0,10.7,m,5,A AP 14.00,,,-3.80E+03,3,2.30E+03,18,1.28E+03,18,7.42E+03,10
98,142,240Cf,0,64,s,9,A = 98.50,,,-6.20E+03,4,2.32E+03,15,1.30E+03,15,7711,4
98,142,240Cf,0,64,s,9,SF = 1.50,,,-6.20E+03,4,2.32E+03,15,1.30E+03,15,7711,4
98,143,241Cf,0,3.78,m,70,EC AP 75.00,,,-4.60E+03,3,3.35E+03,24,2.32E+03,24,7.66E+03,15
98,143,241Cf,0,3.78,m,70,A AP 25.00,,,-4.60E+03,3,3.35E+03,24,2.32E+03,24,7.66E+03,15
98,140,238Cf,0,21.1,ms,13,SF AP 95.00,,,,,3.10E+03,4,2.00E+03,4,8.10E+03,3
98,140,238Cf,0,21.1,ms,13,A LT 5.00,,,,,3.10E+03,4,2.00E+03,4,8.10E+03,3
98,141,239Cf,0,39,s,25,EC ? ,,,-5.40E+03,3,3.95E+03,24,2.93E+03,24,7.76E+03,6
98,141,239Cf,0,39,s,25,A ? ,,,-5.40E+03,3,3.95E+03,24,2.93E+03,24,7.76E+03,6
98,150,248Cf,0,333.5,d,28,A = 100.00,,,-3.06E+03,5,-8.90E+02,5,-1.92E+03,5,6361,5
98,150,248Cf,0,333.5,d,28,SF = 2.9E-3,,,-3.06E+03,5,-8.90E+02,5,-1.92E+03,5,6361,5
98,139,237Cf,0,0.8,s,2,SF = 70.00,,,,,4.73E+03,25,3.71E+03,25,8.22E+03,5
98,139,237Cf,0,0.8,s,2,A = 30.00,,,,,4.73E+03,25,3.71E+03,25,8.22E+03,5
98,157,255Cf,0,85,m,18,B- = 100.00,,,7.20E+02,20,,,,,5.74E+03,20
98,158,256Cf,0,12.3,m,12,SF = 100.00,,,0,AP,,,,,5.56E+03,10
98,158,256Cf,0,12.3,m,12,B- LT 1.00,,,0,AP,,,,,5.56E+03,10
98,158,256Cf,0,12.3,m,12,A AP 1.0E-6,,,0,AP,,,,,5.56E+03,10
98,155,253Cf,0,17.81,d,8,B- = 99.69,,,291,4,-1.60E+03,4,-2.60E+03,4,6126,4
98,155,253Cf,0,17.81,d,8,A = 0.31,,,291,4,-1.60E+03,4,-2.60E+03,4,6126,4
98,156,254Cf,0,60.5,d,2,SF = 99.69,,,-653,12,-3.10E+03,3,-4.10E+03,3,5927,5
98,156,254Cf,0,60.5,d,2,A = 0.31,,,-653,12,-3.10E+03,3,-4.10E+03,3,5927,5
98,153,251Cf,0,898,y,44,A = 100.00,,,-377,6,-1093,10,-2115,10,6177,9
98,153,251Cf,0,898,y,44,SF ? ,,,-377,6,-1093,10,-2115,10,6177,9
98,154,252Cf,0,2.645,y,8,A = 96.91,,,-1.26E+03,5,-2.50E+03,20,-3.52E+03,20,6216.95,4
98,154,252Cf,0,2.645,y,8,SF = 3.09,,,-1.26E+03,5,-2.50E+03,20,-3.52E+03,20,6216.95,4
98,151,249Cf,0,351,y,2,A = 100.00,,,-1.45E+03,3,-123.6,4,-1145.6,4,6293.3,5
98,151,249Cf,0,351,y,2,SF = 5.0E-7,,,-1.45E+03,3,-123.6,4,-1145.6,4,6293.3,5
98,152,250Cf,0,13.08,y,9,A = 99.92,,,-2.05E+03,10,-1781.7,25,-2803.7,25,6128.51,19
98,152,250Cf,0,13.08,y,9,SF = 0.08,,,-2.05E+03,10,-1781.7,25,-2803.7,25,6128.51,19
99,147,246Es,0,7.5,m,5,EC = 90.10,,,-2.37E+03,9,3.73E+03,9,2.71E+03,9,7.64E+03,10
99,147,246Es,0,7.5,m,5,A = 9.90,,,-2.37E+03,9,3.73E+03,9,2.71E+03,9,7.64E+03,10
99,148,247Es,0,4.55,m,26,EC AP 93.00,,,-3.09E+03,18,2469,24,1447,24,7464,20
99,148,247Es,0,4.55,m,26,A AP 7.00,,,-3.09E+03,18,2469,24,1447,24,7464,20
99,149,248Es,0,24,m,3,EC = 99.70,,,-1.60E+03,5,3.06E+03,5,2.04E+03,5,7.16E+03,5
99,149,248Es,0,24,m,3,A AP 0.25,,,-1.60E+03,5,3.06E+03,5,2.04E+03,5,7.16E+03,5
99,143,242Es,0,17.8,s,16,A = 57.00,,,-3.60E+03,5,5.40E+03,3,4.40E+03,3,8160,20
99,143,242Es,0,17.8,s,16,EC = 43.00,,,-3.60E+03,5,5.40E+03,3,4.40E+03,3,8160,20
99,144,243Es,0,21,s,2,A = 61.00,,,-4.57E+03,25,3.80E+03,3,2.70E+03,3,8072,10
99,144,243Es,0,21,s,2,EC = 39.00,,,-4.57E+03,25,3.80E+03,3,2.70E+03,3,8072,10
99,144,243Es,0,21,s,2,SF LT 1.00,,,-4.57E+03,25,3.80E+03,3,2.70E+03,3,8072,10
99,145,244Es,0,37,s,4,EC = 96.00,,,-2.90E+03,3,4.55E+03,18,3.53E+03,18,7.94E+03,10
99,145,244Es,0,37,s,4,A = 4.00,,,-2.90E+03,3,4.55E+03,18,3.53E+03,18,7.94E+03,10
99,146,245Es,0,1.1,m,1,EC = 60.00,,,-3.90E+03,3,2.93E+03,17,1.91E+03,17,7909,3
99,146,245Es,0,1.1,m,1,A = 40.00,,,-3.90E+03,3,2.93E+03,17,1.91E+03,17,7909,3
99,140,239Es,,,,,,,,,,5.40E+03,3,4.40E+03,3,8.40E+03,5
99,141,240Es,,,,,EC  ,,,,,6.20E+03,4,5.20E+03,4,8.26E+03,6
99,141,240Es,,,,,A  ,,,,,6.20E+03,4,5.20E+03,4,8.26E+03,6
99,142,241Es,0,8,s,1,EC ? ,,,-5.30E+03,4,4.60E+03,3,3.50E+03,3,8259,17
99,142,241Es,0,8,s,1,A ? ,,,-5.30E+03,4,4.60E+03,3,3.50E+03,3,8259,17
99,158,257Es,0,7.7,d,2,SF ? ,,,8.00E+02,4,,,,,6.05E+03,20
99,158,257Es,0,7.7,d,2,B- ? ,,,8.00E+02,4,,,,,6.05E+03,20
99,159,258Es,,,,,A ? ,,,2.30E+03,4,,,,,5.90E+03,5
99,159,258Es,,,,,EC ? ,,,2.30E+03,4,,,,,5.90E+03,5
99,154,253Es,0,20.47,d,3,A = 100.00,,,-335.1,11,-291,4,-1313,4,6739.24,5
99,154,253Es,0,20.47,d,3,SF = 8.7E-6,,,-335.1,11,-291,4,-1313,4,6739.24,5
99,155,254Es,0,275.7,d,5,A = 100.00,,,1091.6,23,653,12,-369,12,6617.2,5
99,155,254Es,0,275.7,d,5,B- = 1.7E-4,,,1091.6,23,653,12,-369,12,6617.2,5
99,155,254Es,0,275.7,d,5,SF LT 3.0E-6,,,1091.6,23,653,12,-369,12,6617.2,5
99,155,254Es,0.0842,39.3,h,2,B- = 98.00,,,1091.6,23,653,12,-369,12,6617.2,5
99,155,254Es,0.0842,39.3,h,2,IT LT 3.00,,,1091.6,23,653,12,-369,12,6617.2,5
99,155,254Es,0.0842,39.3,h,2,A = 0.32,,,1091.6,23,653,12,-369,12,6617.2,5
99,155,254Es,0.0842,39.3,h,2,EC = 0.08,,,1091.6,23,653,12,-369,12,6617.2,5
99,155,254Es,0.0842,39.3,h,2,SF LT 0.05,,,1091.6,23,653,12,-369,12,6617.2,5
99,156,255Es,0,39.8,d,12,B- = 92.00,,,289,10,-7.20E+02,20,-1.74E+03,20,6436.3,13
99,156,255Es,0,39.8,d,12,A = 8.00,,,289,10,-7.20E+02,20,-1.74E+03,20,6436.3,13
99,156,255Es,0,39.8,d,12,SF = 4.1E-3,,,289,10,-7.20E+02,20,-1.74E+03,20,6436.3,13
99,157,256Es,0,25.4,m,24,B- = 100.00,,,1.70E+03,10,0,AP,-9.00E+02,3,6.23E+03,22
99,157,256Es,0,7.6,h,,B- = 100.00,,,1.70E+03,10,0,AP,-9.00E+02,3,6.23E+03,22
99,150,249Es,0,102.2,m,6,EC = 99.43,,,-2.34E+03,3,1.45E+03,3,4.30E+02,3,6.94E+03,3
99,150,249Es,0,102.2,m,6,A = 0.57,,,-2.34E+03,3,1.45E+03,3,4.30E+02,3,6.94E+03,3
99,151,250Es,0,8.6,h,1,EC AP 97.00,,,-8.50E+02,10,2.06E+03,10,1.03E+03,10,6.83E+03,12
99,151,250Es,0,8.6,h,1,A LT 3.00,,,-8.50E+02,10,2.06E+03,10,1.03E+03,10,6.83E+03,12
99,151,250Es,0,2.22,h,5,EC LE 100.00,,,-8.50E+02,10,2.06E+03,10,1.03E+03,10,6.83E+03,12
99,152,251Es,0,33,h,1,EC = 99.50,,,-1447,15,377,6,-645,6,6597.1,10
99,152,251Es,0,33,h,1,A = 0.50,,,-1447,15,377,6,-645,6,6597.1,10
99,153,252Es,0,471.7,d,19,A = 78.00,,,4.80E+02,5,1.26E+03,5,2.40E+02,5,6738.6,5
99,153,252Es,0,471.7,d,19,EC = 22.00,,,4.80E+02,5,1.26E+03,5,2.40E+02,5,6738.6,5
100,141,241Fm,0,0.73,ms,6,SF AP 78.00,,,,,5.30E+03,4,4.30E+03,4,8.90E+03,3
100,141,241Fm,0,0.73,ms,6,A LT 14.00,,,,,5.30E+03,4,4.30E+03,4,8.90E+03,3
100,141,241Fm,0,0.73,ms,6,EC LT 12.00,,,,,5.30E+03,4,4.30E+03,4,8.90E+03,3
100,145,245Fm,0,4.2,s,13,A LE 100.00,,,-5.10E+03,3,3.90E+03,3,2.90E+03,3,8.44E+03,10
100,144,244Fm,0,3.12,ms,8,SF AP 97.00,,,-6.60E+03,4,2.90E+03,3,1.90E+03,3,8.55E+03,20
100,144,244Fm,0,3.12,ms,8,EC LT 2.00,,,-6.60E+03,4,2.90E+03,3,1.90E+03,3,8.55E+03,20
100,144,244Fm,0,3.12,ms,8,A LT 1.00,,,-6.60E+03,4,2.90E+03,3,1.90E+03,3,8.55E+03,20
100,143,243Fm,0,0.231,s,9,A = 91.00,,,,,4.57E+03,25,3.55E+03,25,8.69E+03,5
100,143,243Fm,0,0.231,s,9,EC LT 10.00,,,,,4.57E+03,25,3.55E+03,25,8.69E+03,5
100,143,243Fm,0,0.231,s,9,SF = 9.00,,,,,4.57E+03,25,3.55E+03,25,8.69E+03,5
100,142,242Fm,0,4,us,LT,SF LE 100.00,,,,,3.60E+03,5,2.60E+03,5,8.70E+03,5
100,149,249Fm,0,2.6,m,7,EC = 67.00,,,-3.66E+03,16,2.34E+03,3,1.32E+03,3,7709,6
100,149,249Fm,0,2.6,m,7,A = 33.00,,,-3.66E+03,16,2.34E+03,3,1.32E+03,3,7709,6
100,148,248Fm,0,34.5,s,2,A = 95.00,,,-5.05E+03,18,1.60E+03,5,5.80E+02,5,7995,8
100,148,248Fm,0,34.5,s,2,EC = 5.00,,,-5.05E+03,18,1.60E+03,5,5.80E+02,5,7995,8
100,148,248Fm,0,34.5,s,2,SF = 0.10,,,-5.05E+03,18,1.60E+03,5,5.80E+02,5,7995,8
100,147,247Fm,0,31,s,1,A = 64.00,,,-4.30E+03,3,3.09E+03,18,2.07E+03,18,8258,10
100,147,247Fm,0,31,s,1,EC = 36.00,,,-4.30E+03,3,3.09E+03,18,2.07E+03,18,8258,10
100,147,247Fm,0.045,5.1,s,2,A = 88.00,,,-4.30E+03,3,3.09E+03,18,2.07E+03,18,8258,10
100,147,247Fm,0.045,5.1,s,2,IT = 12.00,,,-4.30E+03,3,3.09E+03,18,2.07E+03,18,8258,10
100,146,246Fm,0,1.54,s,4,A = 93.20,,,-5.90E+03,3,2.37E+03,9,1.35E+03,9,8379,5
100,146,246Fm,0,1.54,s,4,SF = 6.80,,,-5.90E+03,3,2.37E+03,9,1.35E+03,9,8379,5
100,146,246Fm,0,1.54,s,4,EC LE 1.30,,,-5.90E+03,3,2.37E+03,9,1.35E+03,9,8379,5
100,160,260Fm,0,4,ms,AP,SF = 100.00,,,-8.00E+02,5,,,,,6.30E+03,3
100,152,252Fm,0,25.39,h,4,A = 100.00,,,-3.65E+03,9,-4.80E+02,5,-1.50E+03,5,7153.7,10
100,152,252Fm,0,25.39,h,4,SF = 2.3E-3,,,-3.65E+03,9,-4.80E+02,5,-1.50E+03,5,7153.7,10
100,151,251Fm,0,5.3,h,8,EC = 98.20,,,-3008,24,1447,15,425,15,7424.5,10
100,151,251Fm,0,5.3,h,8,A = 1.80,,,-3008,24,1447,15,425,15,7424.5,10
100,150,250Fm,0,30,m,3,A AP 90.00,,,-4.33E+03,9,8.50E+02,10,-1.70E+02,10,7557,8
100,150,250Fm,0,30,m,3,EC LT 10.00,,,-4.33E+03,9,8.50E+02,10,-1.70E+02,10,7557,8
100,150,250Fm,0,30,m,3,SF = 6.9E-3,,,-4.33E+03,9,8.50E+02,10,-1.70E+02,10,7557,8
100,150,250Fm,0,1.93,s,15,IT = 100.00,,,-4.33E+03,9,8.50E+02,10,-1.70E+02,10,7557,8
100,156,256Fm,0,157.6,m,13,SF = 91.90,,,-1.97E+03,12,-1.70E+03,10,-2.72E+03,10,7025.3,19
100,156,256Fm,0,157.6,m,13,A = 8.10,,,-1.97E+03,12,-1.70E+03,10,-2.72E+03,10,7025.3,19
100,155,255Fm,0,20.07,h,7,A = 100.00,,,-1042,7,-289,10,-1311,10,7240.6,5
100,155,255Fm,0,20.07,h,7,SF = 2.4E-5,,,-1042,7,-289,10,-1311,10,7240.6,5
100,154,254Fm,0,3.24,h,2,A = 99.94,,,-2.55E+03,10,-1091.6,23,-2113.6,23,7307.3,10
100,154,254Fm,0,3.24,h,2,SF = 0.06,,,-2.55E+03,10,-1091.6,23,-2113.6,23,7307.3,10
100,153,253Fm,0,3,d,12,EC = 88.00,,,-1.83E+03,3,335.1,11,-686.9,11,7197.9,10
100,153,253Fm,0,3,d,12,A = 12.00,,,-1.83E+03,3,335.1,11,-686.9,11,7197.9,10
100,159,259Fm,0,1.5,s,3,SF = 100.00,,,0,AP,,,,,6.47E+03,20
